film-item-rating-position__position,selection-film-item-poster__rating,selection-film-item-meta__name,rating__value,rating__count
1,9.1,Зеленая миля,8.9,701 104
2,9.1,Побег из Шоушенка,8.9,790 958
3,8.6,Властелин колец: Возвращение короля,8.8,488 761
4,8.6,Властелин колец: Две крепости,8.8,476 404
5,8.6,Властелин колец: Братство Кольца,8.8,527 358
6,8.8,Король Лев,8.6,541 100
7,8.9,Форрест Гамп,8.6,640 759
8,8.8,Иван Васильевич меняет профессию,8.6,704 664
9,8.6,Интерстеллар,8.6,727 241
10,8.6,Тайна Коко,8.6,418 728
11,8.6,Криминальное чтиво,8.6,541 907
12,8.3,ВАЛЛ·И,8.6,491 639
13,8.6,"Карты, деньги, два ствола",8.6,416 380
14,8.8,1+1,8.6,1 314 017
15,8.5,Матрица,8.6,559 971
16,8.7,Начало,8.6,812 175
17,8.6,Клаус,8.6,93 463
18,8.8,Список Шиндлера,8.6,370 736
19,8.4,Унесённые призраками,8.5,385 135
20,8.6,Назад в будущее,8.5,486 808
21,8.5,Джентльмены удачи,8.5,499 055
22,8.6,Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,8.5,167 573
23,8.7,Операция «Ы» и другие приключения Шурика,8.5,628 271
24,8.3,Пираты Карибского моря: Проклятие Черной жемчужины,8.5,604 422
25,8.4,Москва слезам не верит,8.5,419 901
26,8.7,В бой идут одни «старики»,8.5,367 067
27,8.5,Остров проклятых,8.5,597 356
28,8.5,Джентльмены,8.5,851 498
29,8.5,Большой куш,8.5,398 902
30,8.6,Бойцовский клуб,8.5,627 756
31,8.6,Достучаться до небес,8.4,459 370
32,8.0,Шрэк,8.4,429 256
33,8.5,...А зори здесь тихие,8.4,197 979
34,8.2,Брат,8.4,742 336
35,8.2,Невидимая сторона,8.4,200 940
36,8.4,Душа,8.4,341 008
37,8.2,Остров сокровищ,8.4,120 207
38,8.2,Один дома,8.4,581 958
39,8.5,Темный рыцарь,8.4,534 474
40,8.5,12 разгневанных мужчин,8.4,108 726
41,8.5,Престиж,8.3,526 243
42,8.6,Гладиатор,8.3,466 100
43,8.3,Одержимость,8.3,274 314
44,8.3,Любовь и голуби,8.3,584 943
45,8.3,Терминатор 2: Судный день,8.3,370 866
46,8.6,Игры разума,8.3,429 271
47,8.3,Собачье сердце,8.3,246 062
48,8.7,Леон,8.3,525 311
49,8.1,Брат 2,8.3,629 035
50,8.5,Отступники,8.3,395 481
51,8.2,Гарри Поттер и узник Азкабана,8.3,450 613
52,8.5,"Кавказская пленница, или Новые приключения Шурика",8.3,474 694
53,8.3,Твоё имя,8.3,164 243
54,8.2,Гарри Поттер и философский камень,8.3,602 801
55,8.4,Они сражались за Родину,8.3,142 195
56,8.3,Назад в будущее 2,8.3,338 397
57,8.4,Зеленая книга,8.3,532 271
